epoch,train_mse,val_mse
0,-1.0,0.014270711690187454
1,-1.0,0.012158617377281189
2,-1.0,0.011164579540491104
3,-1.0,0.010241846553981304
4,-1.0,0.00956265814602375
5,-1.0,0.009335382841527462
6,-1.0,0.008980898186564445
7,-1.0,0.008711341768503189
8,-1.0,0.008614685386419296
9,-1.0,0.008554531261324883
10,-1.0,0.008507576771080494
11,-1.0,0.008462841622531414
12,-1.0,0.008424448780715466
13,-1.0,0.008385098539292812
14,-1.0,0.00835426989942789
15,-1.0,0.008327770978212357
16,-1.0,0.008302906528115273
17,-1.0,0.008279024623334408
18,-1.0,0.008257700130343437
19,-1.0,0.008239307440817356
20,-1.0,0.008222896605730057
21,-1.0,0.00820744689553976
22,-1.0,0.008195186965167522
23,-1.0,0.008183665573596954
24,-1.0,0.008173614740371704
25,-1.0,0.008164376951754093
26,-1.0,0.00815597828477621
27,-1.0,0.00814768299460411
28,-1.0,0.008140875957906246
29,-1.0,0.008133355528116226
30,-1.0,0.008127070963382721
31,-1.0,0.008121449500322342
32,-1.0,0.008116344921290874
33,-1.0,0.008111159317195415
34,-1.0,0.008106503635644913
35,-1.0,0.008101730607450008
36,-1.0,0.008097867481410503
37,-1.0,0.008093957789242268
38,-1.0,0.008089838549494743
39,-1.0,0.008086592890322208
40,-1.0,0.008083146065473557
41,-1.0,0.008080183528363705
42,-1.0,0.008077196776866913
43,-1.0,0.008074463345110416
44,-1.0,0.008071457967162132
45,-1.0,0.008068538270890713
46,-1.0,0.008065993897616863
47,-1.0,0.008063389919698238
48,-1.0,0.008060836233198643
49,-1.0,0.008058401755988598
50,-1.0,0.008056017570197582
51,-1.0,0.008053706027567387
52,-1.0,0.008051409386098385
53,-1.0,0.008049288764595985
54,-1.0,0.008047332987189293
55,-1.0,0.00804551225155592
56,-1.0,0.008043539710342884
57,-1.0,0.008041623048484325
58,-1.0,0.008039756678044796
59,-1.0,0.008037934079766273
60,-1.0,0.008036244660615921
61,-1.0,0.008034614846110344
62,-1.0,0.008033109828829765
63,-1.0,0.008031459525227547
64,-1.0,0.008029873482882977
65,-1.0,0.008028505370020866
66,-1.0,0.00802708137780428
67,-1.0,0.008025743067264557
68,-1.0,0.008024470880627632
69,-1.0,0.0080232173204422
70,-1.0,0.008021795190870762
71,-1.0,0.008020472712814808
72,-1.0,0.0080192806199193
73,-1.0,0.008018191903829575
74,-1.0,0.008017018437385559
75,-1.0,0.008015962317585945
76,-1.0,0.008015069179236889
77,-1.0,0.008014203049242496
78,-1.0,0.008013270795345306
79,-1.0,0.008012518286705017
80,-1.0,0.008011589758098125
81,-1.0,0.008010857738554478
82,-1.0,0.008010152727365494
83,-1.0,0.008009416051208973
84,-1.0,0.008008607663214207
85,-1.0,0.00800788588821888
86,-1.0,0.008007185533642769
87,-1.0,0.008006528951227665
88,-1.0,0.008005931973457336
89,-1.0,0.00800534337759018
90,-1.0,0.008004787378013134
91,-1.0,0.008004169911146164
92,-1.0,0.008003666065633297
93,-1.0,0.008003085851669312
94,-1.0,0.008002429269254208
95,-1.0,0.008001959882676601
96,-1.0,0.008001519367098808
97,-1.0,0.008001182228326797
98,-1.0,0.008000832982361317
99,-1.0,0.00800035335123539
